Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Niue,26.51,32.66,39.15,43.13,47.34,51.70,56.25,61.01,65.92,74.48,76.97,79.56,82.22
Norfolk Islands,,,,,,,,,,,,,
Northern Marianas,,,,,,,,,,,,,
Norway,52.00,64.00,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.97,95.00
Oman,3.52,5.89,6.87,7.26,6.76,6.68,8.30,16.68,20.00,26.80,35.83,48.00,60.00
Pakistan,,1.32,2.58,5.04,6.16,6.33,6.50,6.80,7.00,7.50,8.00,9.00,9.96
Palau,,,20.24,21.60,26.97,,,,,,,,
Palestinian Authority,1.11,1.84,3.10,4.13,4.40,16.01,18.41,21.18,24.36,32.23,37.40,41.08,
Panama,6.55,7.27,8.52,9.99,11.14,11.48,17.35,22.29,33.82,39.08,40.10,42.70,45.20
Papua New Guinea,0.84,0.90,1.32,1.37,1.51,1.72,1.75,1.79,1.15,1.61,1.28,2.00,2.30
Paraguay,0.75,1.10,1.79,2.11,3.45,7.91,7.96,11.21,14.27,18.90,19.80,23.90,27.08
Peru,3.08,7.58,8.97,11.60,14.10,17.10,20.70,25.20,30.57,31.40,34.77,36.00,38.20
Philippines,1.98,2.52,4.33,4.86,5.24,5.40,5.74,5.97,6.22,9.00,25.00,29.00,36.24
Poland,7.29,9.90,21.15,24.87,32.53,38.81,44.58,48.60,53.13,58.97,62.32,64.88,65.00
Portugal,16.43,18.09,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.30,57.76,64.00
Puerto Rico,10.47,15.63,17.55,19.71,22.13,23.40,25.44,27.86,38.00,41.50,45.30,48.00,51.41
Qatar,4.86,6.17,10.23,19.24,20.70,24.73,28.97,37.00,44.30,53.10,81.60,86.20,88.10
Romania,3.61,4.54,6.58,8.90,15.00,21.50,24.66,28.30,32.42,36.60,39.93,44.02,50.00
Russia,1.98,2.94,4.13,8.30,12.86,15.23,18.02,24.66,26.83,29.00,43.00,49.00,53.27
Rwanda,0.06,0.24,0.29,0.36,0.43,0.56,,2.12,4.50,7.70,8.00,7.00,8.02
S. Tomé & Principe,4.64,6.31,7.58,10.16,13.32,13.76,14.18,14.59,15.48,16.41,18.75,20.16,21.57
Samoa,0.57,1.69,2.24,2.80,3.08,3.35,4.47,4.75,5.03,6.00,7.00,11.00,12.92
San Marino,48.80,50.34,50.83,50.00,50.57,50.26,50.21,50.36,54.52,54.21,,49.60,50.88
Saudi Arabia,2.21,4.68,6.38,8.00,10.23,12.71,19.46,30.00,36.00,38.00,41.00,47.50,54.00
Senegal,0.40,0.98,1.01,2.10,4.39,4.79,5.61,7.70,10.60,14.50,16.00,17.50,19.20
Serbia,,,,,23.50,26.30,27.20,33.15,35.60,38.10,40.90,42.20,48.10
Seychelles,7.40,11.02,14.30,14.59,24.27,25.41,34.95,38.38,40.44,,41.00,43.16,47.08
Sierra Leone,0.12,0.16,0.18,0.19,0.20,0.22,0.23,0.24,0.25,0.26,0.58,0.90,1.30
Singapore,36.00,41.67,47.00,53.84,62.00,61.00,59.00,69.90,69.00,69.00,71.00,71.00,74.18
Slovak Republic,9.43,12.53,40.14,43.04,52.89,55.19,56.08,61.80,66.05,70.00,75.71,74.44,80.00
Slovenia,15.11,30.18,27.84,31.85,40.81,46.81,54.01,56.74,58.00,64.00,70.00,69.00,70.00
Solomon Islands,0.48,0.47,0.50,0.56,0.65,0.84,1.65,2.00,3.00,4.00,5.00,6.00,7.00
Somalia,0.02,0.08,0.12,0.38,1.05,1.08,1.10,1.12,1.14,1.16,,1.25,1.38
South Africa,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10.00,24.00,33.97,41.00
South Sudan,,,,,,,,,,,,,
Spain,13.62,18.15,20.39,39.93,44.01,47.88,50.37,55.11,59.60,62.40,65.80,67.60,72.00
Sri Lanka,0.65,0.79,1.05,1.46,1.45,1.79,2.54,3.88,5.80,8.78,12.00,15.00,18.29
St. Helena,5.92,7.99,10.13,12.34,14.62,15.91,17.23,18.57,18.82,19.07,24.94,33.00,37.60
